cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,pred_pre,pred_pre_sig,trde_tern_rt
53100,22481925,1200142,20241219,53500,53800,53100,-1800,5,+0.38
54900,13698937,752377,20241218,54100,55400,54000,+700,2,+0.23
54200,20215230,1099985,20241217,54700,55200,54000,-1400,5,+0.34
55600,15277277,853551,20241216,56300,56600,55200,-500,5,+0.26
56100,15908823,890640,20241213,55800,56300,55500,+200,2,+0.27
55900,33476698,1853172,20241212,54000,56500,53900,+1900,2,+0.56
54000,14565947,784683,20241211,53600,54200,53400,0,3,+0.24
54000,20783970,1122596,20241210,54500,54500,53700,+600,2,+0.35
53400,26227680,1409456,20241209,53500,54600,53200,-700,5,+0.44
54100,22861874,1232013,20241206,53900,54400,52700,+400,2,+0.38
53700,23588277,1270914,20241205,53200,54400,53200,+600,2,+0.40
53100,29004766,1533224,20241204,52000,53400,52000,-500,5,+0.49
53600,23374603,1257635,20241203,53100,54400,53100,0,3,+0.39
53600,22044867,1184225,20241202,54300,54400,53100,-600,5,+0.37
54200,24513531,1331024,20241129,55100,55300,53800,-1300,5,+0.41
55500,20001134,1114565,20241128,56000,56400,55200,-800,5,+0.34
56300,21808387,1236109,20241127,57700,57800,56000,-2000,5,+0.37
58300,23209405,1350434,20241126,57900,58900,57500,+400,2,+0.39
57900,36237325,2086463,20241125,57400,57900,56700,+1900,2,+0.61
56000,15281543,860561,20241122,56000,56700,55900,-400,5,+0.26
56400,19096850,1068199,20241121,54900,56900,54700,+1100,2,+0.32
55300,20864667,1156033,20241120,56100,56500,54800,-1000,5,+0.35
56300,31539632,1786885,20241119,56500,57500,55900,-400,5,+0.53
56700,48095234,2726095,20241118,57000,57500,55900,+3200,2,+0.81
53500,46774485,2464749,20241115,50300,54200,50300,+3600,2,+0.78
49900,48510715,2465304,20241114,50200,51800,49900,-700,5,+0.81
50600,52527995,2704093,20241113,52000,53000,50500,-2400,5,+0.88
53000,37962881,2037791,20241112,54600,54600,53000,-2000,5,+0.64
55000,29811326,1654821,20241111,56700,56800,55000,-2000,5,+0.50
57000,13877396,799664,20241108,58000,58300,57000,-500,5,+0.23
57500,17043102,982115,20241107,56900,58100,56800,+200,2,+0.29
57300,22092218,1262148,20241106,57600,58000,56300,-300,5,+0.37
57600,17484474,1007627,20241105,57800,58100,57200,-1100,5,+0.29
58700,15586947,916941,20241104,58600,59400,58400,+400,2,+0.26
58300,19083180,1121094,20241101,59000,59600,58100,-900,5,+0.32
59200,35809196,2141846,20241031,58500,61200,58300,+100,2,+0.60
59100,19838511,1173730,20241030,59100,59800,58600,-500,5,+0.33
59600,28369314,1668410,20241029,58000,59600,57300,+1500,2,+0.48
58100,27775009,1597163,20241028,55700,58500,55700,+2200,2,+0.47
55900,25829315,1448168,20241025,56000,56900,55800,-700,5,+0.43
56600,31499922,1809878,20241024,58200,58500,56600,-2500,5,+0.53
59100,27300780,1598545,20241023,57500,60000,57100,+1400,2,+0.46
57700,27582527,1604867,20241022,58800,58900,57700,-1300,5,+0.46
59000,18514905,1092562,20241021,59000,59600,58500,-200,5,+0.31
59200,14420260,857377,20241018,59900,60100,59100,-500,5,+0.24
59700,23372873,1391873,20241017,59400,60100,59100,+200,2,+0.39
59500,23303268,1389152,20241016,59400,60000,59200,-1500,5,+0.39
61000,22715239,1381789,20241015,61100,61400,60100,+200,2,+0.38
60800,20886249,1262857,20241014,59500,61200,59400,+1500,2,+0.35
59300,29623969,1765729,20241011,59100,60100,59000,+400,2,+0.50
58900,45262214,2687253,20241010,60100,60200,58900,-1400,5,+0.76
60300,27411786,1652789,20241008,60000,61000,59900,-700,5,+0.46
61000,35066533,2118597,20241007,60200,61900,59500,+400,2,+0.59
60600,24247578,1480865,20241004,61000,61700,60500,-700,5,+0.41
61300,28473536,1737678,20241002,60500,61900,59900,-200,5,+0.48
61500,32694163,2043450,20240930,64200,64300,61500,-2700,5,+0.55
64200,28433030,1842322,20240927,64700,65400,64200,-500,5,+0.48
64700,37566015,2417513,20240926,63900,64900,63700,+2500,2,+0.63
62200,28652438,1816598,20240925,63800,64200,62200,-1000,5,+0.48
63200,26957500,1695341,20240924,62800,63400,62400,+600,2,+0.45
62600,28542376,1787974,20240923,62300,63500,62200,-400,5,+0.48
63000,32746056,2086234,20240920,63800,64700,63000,-100,5,+0.55
63100,49402713,3115926,20240919,64000,64400,62200,-1300,5,+0.83
64400,25045135,1621747,20240913,65000,65500,64300,-1900,5,+0.42
66300,35884106,2369441,20240912,66000,66600,65200,+1400,2,+0.60
64900,35809707,2325181,20240911,65100,65500,64200,-1300,5,+0.60
66200,30651376,2041162,20240910,67000,67300,66000,-1300,5,+0.51
67500,23263298,1566505,20240909,66900,68200,66600,-1400,5,+0.39
68900,19022299,1309834,20240906,69100,69700,68000,-100,5,+0.32
69000,25686769,1795890,20240905,70100,71200,69000,-1000,5,+0.43
70000,27366563,1923752,20240904,69800,71100,69800,-2500,5,+0.46
72500,16314599,1195017,20240903,74100,74300,72500,-1900,5,+0.27
74400,12641376,938130,20240902,74500,74700,73500,+100,2,+0.21
74300,16358520,1217839,20240830,74400,75000,74100,+300,2,+0.27
74000,16884479,1250517,20240829,73600,74700,73500,-2400,5,+0.28
76400,9794514,743267,20240828,75800,76400,75400,+600,2,+0.16
75800,11130145,845521,20240827,75700,76500,75600,-300,5,+0.19
76100,15655938,1200212,20240826,78100,78200,76000,-1600,5,+0.26
77700,9420306,733115,20240823,77700,78400,77500,-600,5,+0.16
78300,8149101,637689,20240822,78700,78900,77800,0,3,+0.14
78300,7805598,610445,20240821,77900,78600,77800,-600,5,+0.13
78900,10683836,846451,20240820,79500,79800,78700,+600,2,+0.18
78300,14146565,1112867,20240819,80100,80100,78000,-1900,5,+0.24
