cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,pred_pre,pred_pre_sig,trde_tern_rt
80600,15454227,1239804,20240624,79700,80900,79500,+600,2,+0.26
80000,17907523,1437355,20240621,80700,80800,80000,-1600,5,+0.30
81600,20288913,1658024,20240620,81500,82200,81200,+400,2,+0.34
81200,24168863,1965912,20240619,81100,82500,80500,+1400,2,+0.40
79800,18207598,1451893,20240618,78700,80200,78600,+1700,2,+0.30
78100,16123051,1267631,20240617,79200,79500,78000,-1500,5,+0.27
79600,22926612,1830283,20240614,79700,80500,79000,+1000,2,+0.38
78600,33763804,2648773,20240613,78400,79000,77800,+2100,2,+0.57
76500,19246725,1460415,20240612,75300,77100,75200,+1300,2,+0.32
75200,16971175,1280832,20240611,75900,76000,75100,-500,5,+0.28
75700,14598755,1109352,20240610,76100,76600,75600,-1600,5,+0.24
77300,21189349,1645298,20240607,78400,78600,77100,-100,5,+0.35
77400,23177968,1794237,20240605,78000,78000,76800,+2100,2,+0.39
75300,14098053,1065751,20240604,74900,76100,74900,-400,5,+0.24
